road,id,model_type,name,lat,lon,length,chainage,condition
N2,201935,bridge,bridge 960,24.0429702404358,91.2045500397094,64.35499999999999,96.192,C
N2,201936,link,link 971,24.041848240884548,91.20735378341024,661.0,96.5225,
N2,201937,bridge,bridge 961,24.0407262413333,91.2101575271111,34.355000000000004,96.853,B
N2,201938,link,link 972,24.0416492652944,91.212939158141,410.0,97.05799999999999,
N2,201939,bridge,bridge 962,24.0425722892555,91.2157207891709,26.515,97.263,C
N2,201940,link,link 973,24.04291393904395,91.21679546336715,433.0,97.4795,
N2,201941,bridge,bridge 963,24.0432555888324,91.2178701375634,4.0,97.696,A
N2,201942,link,link 974,24.046547152583152,91.22845193330075,2344.0,98.868,
N2,201943,bridge,bridge 964,24.0498387163339,91.2390337290381,64.94,100.04,A
N2,201944,link,link 975,24.053588634419448,91.241462609509,964.0,100.522,
N2,201945,bridge,bridge 965,24.057338552505,91.2438914899799,4.0,101.004,A
N2,201946,link,link 976,24.061643237865,91.2484807532932,1337.0,101.6725,
N2,201947,bridge,bridge 966,24.065947923225,91.2530700166065,9.3,102.341,A
N2,201948,link,link 977,24.06752597936395,91.25484772072926,502.0,102.592,
N2,201949,bridge,bridge 967,24.0691040355029,91.256625424852,3.5,102.843,B
N2,201950,link,link 978,24.07078322313895,91.25846765306869,531.0,103.10849999999999,
N2,201951,bridge,bridge 968,24.072462410775,91.2603098812854,12.3,103.374,A
N2,201952,link,link 979,24.075166027705052,91.26321951059975,843.0,103.7955,
N2,201953,bridge,bridge 969,24.0778696446351,91.2661291399141,9.0,104.217,A
N2,201954,link,link 980,24.0800599207912,91.2711752857465,1257.0,104.8455,
N2,201955,bridge,bridge 970,24.0822501969473,91.2762214315789,3.5,105.474,A
N2,201956,link,link 981,24.0826733890231,91.2784888426026,509.0,105.7285,
N2,201957,bridge,bridge 971,24.0830965810989,91.2807562536263,4.0,105.983,A
N2,201958,link,link 982,24.08416870677855,91.2823842842117,413.0,106.18950000000001,
N2,201959,bridge,bridge 972,24.0852408324582,91.2840123147971,10.3,106.396,A
N2,201960,link,link 983,24.08807728113635,91.28625793186359,839.0,106.8155,
N2,201961,bridge,bridge 973,24.0909137298145,91.2885035489301,67.045,107.235,C
N2,201962,link,link 984,24.0940810101127,91.2898279237801,746.0,107.608,
N2,201963,bridge,bridge 974,24.0972482904109,91.2911522986301,3.0,107.981,A
N2,201964,link,link 985,24.100753649631997,91.2945485987114,1057.0,108.5095,
N2,201965,bridge,bridge 975,24.1042590088531,91.2979448987927,19.45,109.038,C
N2,201966,link,link 986,24.107027764925498,91.30017742268114,762.0,109.419,
N2,201967,bridge,bridge 976,24.1097965209979,91.3024099465696,36.95,109.8,C
N2,201968,link,link 987,24.1138481941353,91.3066299136888,1247.0,110.42349999999999,
N2,201969,bridge,bridge 977,24.1178998672727,91.310849880808,4.0,111.047,A
N2,201970,link,link 988,24.12112958660545,91.31381406950135,932.0,111.513,
N2,201971,bridge,bridge 978,24.1243593059382,91.3167782581947,30.0,111.979,B
N2,201972,link,link 989,24.12857104557945,91.31949500750426,1108.0,112.533,
N2,201973,bridge,bridge 979,24.1327827852207,91.3222117568138,25.0,113.087,B
N2,201974,link,link 990,24.1359465596081,91.323620970791,759.0,113.4665,
N2,201975,bridge,bridge 980,24.1391103339955,91.3250301847682,40.725,113.846,A
N2,201976,link,link 991,24.14157163175545,91.32930141220785,1063.0,114.3775,
N2,201977,bridge,bridge 981,24.1440329295154,91.3335726396475,22.9,114.909,A
N2,201978,link,link 992,24.1451992776756,91.33781273958056,901.0,115.3595,
N2,201979,bridge,bridge 982,24.1463656258358,91.3420528395136,2.0,115.81,B
N2,201980,link,link 993,24.14679114138122,91.34348726156355,208.0,115.914,
N2,201981,bridge,bridge 983,24.14721665692665,91.3449216836135,6.3,116.018,A
N2,201982,link,link 994,24.148828262261226,91.3462996165454,592.0,116.314,
N2,201983,bridge,bridge 984,24.1504398675958,91.3476775494773,2.0,116.61,C
N2,201984,link,link 995,24.15247464326115,91.3482308908403,476.0,116.848,
N2,201985,bridge,bridge 985,24.1545094189265,91.3487842322033,4.25,117.086,A
N2,201986,link,link 996,24.155395021468898,91.34880755593215,198.0,117.185,
N2,201987,bridge,bridge 986,24.1562806240113,91.348830879661,10.6,117.284,A
N2,201988,link,link 997,24.15756310832465,91.3488678014869,256.0,117.412,
N2,201989,bridge,bridge 987,24.158845592638,91.3489047233128,2.0,117.54,A
N2,201990,link,link 998,24.15979964137015,91.34892920312396,231.0,117.6555,
N2,201991,bridge,bridge 988,24.1607536901023,91.3489536829351,9.0,117.771,A
N2,201992,link,link 999,24.16167919340275,91.3489823227862,219.0,117.8805,
N2,201993,bridge,bridge 989,24.1626046967032,91.3490109626373,7.2,117.99,A
N2,201994,link,link 1000,24.16414597076535,91.34901918131865,345.0,118.1625,
N2,201995,bridge,bridge 990,24.1656872448275,91.3490274,8.2,118.335,A
N2,201996,link,link 1001,24.16640474655165,91.3490274,162.0,118.416,
N2,201997,bridge,bridge 991,24.1671222482758,91.3490274,6.4,118.497,B
N2,201998,link,link 1002,24.168463323833,91.3490274,301.0,118.64750000000001,
N2,201999,bridge,bridge 992,24.1698043993902,91.3490274,3.1,118.798,A
N2,202000,link,link 1003,24.17303279787495,91.34917204368304,707.0,119.1515,
N2,202001,bridge,bridge 993,24.1762611963597,91.3493166873661,1.6,119.505,A
N2,202002,link,link 1004,24.179377439579802,91.34973557208305,694.0,119.852,
N2,202003,bridge,bridge 994,24.1824936827999,91.3501544568,17.12,120.199,A
N2,202004,link,link 1005,24.18541875039995,91.35033558239999,652.0,120.525,
N2,202005,bridge,bridge 995,24.188343818,91.350516708,5.32,120.851,A
N2,202006,link,link 1006,24.1898767864566,91.350522254,344.0,121.023,
N2,202007,bridge,bridge 996,24.1914097549132,91.3505278,6.22,121.195,A
N2,202008,link,link 1007,24.19358776664575,91.35061475307126,491.0,121.4405,
N2,202009,bridge,bridge 997,24.1957657783783,91.3507017061425,3.5,121.686,A
N2,202010,link,link 1008,24.199832410082934,91.35150693202704,428.0,121.9,
N2,202011,bridge,bridge 998,24.203899041787565,91.35231215791157,4.75,122.114,A
N2,202012,link,link 1009,24.202662344903082,91.35188314445693,212.0,122.22,
N2,202013,bridge,bridge 999,24.2014256480186,91.3514541310023,2.0,122.326,A
N2,202014,link,link 1010,24.20499291125065,91.35296469032869,865.0,122.7585,
N2,202015,bridge,bridge 1000,24.2085601744827,91.3544752496551,29.5,123.191,A
